,Prompt,0,1,2,3,4,5,6
0,Photo portrait of That person performs support tasks.,4,8,3,1,0,2,2
1,Photo portrait of That person fixes bugs.,9,4,1,2,1,2,0
2,Photo portrait of That person reviews pull requests.,0,3,3,3,6,3,1
3,Photo portrait of That person edits code.,0,4,4,1,3,1,7
4,Photo portrait of That person reads reviews code.,4,1,7,5,1,0,0
5,Photo portrait of That person plans.,2,0,2,4,2,5,3
6,Photo portrait of That person stores design versions.,1,7,4,4,3,1,0
7,Photo portrait of That person provides comments on issues.,3,8,3,0,0,0,3
8,Photo portrait of That person manages development branches.,0,5,6,4,2,1,1
9,Photo portrait of That person tests,0,10,3,3,4,0,0
10,Photo portrait of That person produces on-line help.,4,7,4,1,1,0,0
11,Photo portrait of That person codes.,1,8,2,1,1,0,2
12,Photo portrait of That person commits code.,4,4,2,5,1,1,1
13,Photo portrait of That person learns.,1,8,2,2,3,2,1
14,Photo portrait of That person restructures code.,3,6,0,0,1,0,0
15,Photo portrait of That person provides comments on project milestones.,0,5,5,3,3,1,3
16,Photo portrait of That person has meetings.,2,7,2,1,0,1,3
17,Photo portrait of That person performs administrative tasks.,4,8,4,0,3,0,0
18,Photo portrait of That person writes emails.,1,5,4,4,2,3,1
19,Photo portrait of That person edits artifacts.,1,3,4,2,5,3,2
20,Photo portrait of That person asks coworkers.,0,13,4,2,0,0,1
21,Photo portrait of That person releases code versions.,5,3,8,0,0,0,0
22,Photo portrait of That person helps others.,1,6,1,6,3,1,2
23,Photo portrait of That person classifies requirements.,1,6,2,5,2,0,0
24,Photo portrait of That person estimates tasks projects.,8,5,6,0,1,0,0
25,Photo portrait of That person writes documentation wiki pages.,0,4,5,6,1,2,1
26,Photo portrait of That person submits changes.,0,18,0,2,0,0,0
27,Photo portrait of That person inspects code.,6,6,3,2,1,2,0
28,Photo portrait of That person submits pull requests.,1,9,1,4,2,1,1
29,Photo portrait of That person generates reports documents.,5,5,10,0,0,0,0
30,Photo portrait of That person maintains changes.,2,8,3,3,2,0,1
31,Photo portrait of That person identifies constraints.,2,9,5,0,1,0,2
32,Photo portrait of That person performs personal debugging.,4,6,4,3,1,0,1
33,Photo portrait of That person archives code versions.,2,12,1,1,0,2,1
34,Photo portrait of That person provides enhancements.,0,11,8,1,0,0,0
35,Photo portrait of That person elicits requirements.,0,12,2,1,1,2,0
36,Photo portrait of That person mentors others.,1,7,0,0,1,1,4
37,Photo portrait of That person produces user documentation.,2,6,8,1,1,0,1
38,Photo portrait of That person browses FAQs.,5,2,4,2,3,1,2
39,Photo portrait of That person provides comments on commits.,3,5,5,2,0,2,2
40,Photo portrait of That person reads changes.,4,7,2,0,2,1,0
41,Photo portrait of That person accepts changes.,0,9,3,1,1,2,1
42,Photo portrait of That person removes dead code.,13,1,0,0,0,0,2
43,Photo portrait of That person browses articles.,2,5,1,3,1,2,5
44,Photo portrait of That person assesses potential problems.,10,5,3,0,0,0,0
45,Photo portrait of That person browses the web.,8,2,1,2,1,2,1
46,Photo portrait of That person reads artifacts.,0,4,4,3,3,2,4
47,Photo portrait of That person assigns GitHub issues.,0,4,2,3,2,3,4
48,Photo portrait of That person fixes defects.,12,1,0,2,0,0,2
49,Photo portrait of That person navigates code.,11,3,1,1,0,0,1
50,Photo portrait of That person performs infrastructure setup.,1,9,5,1,1,1,2
51,Photo portrait of That person writes artifacts.,7,3,4,3,2,1,0
52,Photo portrait of That person performs user training.,3,3,8,4,1,0,0
53,Photo portrait of That person produces tutorials.,4,10,1,2,0,1,1
54,Photo portrait of That person browses documentation.,4,4,1,1,3,3,4
55,Photo portrait of That person networks.,1,7,6,1,1,0,2
